timestamp,datetime,old_range_low,old_range_high,new_range_low,new_range_high,price,trigger,time_since_last,price_change_pct,volatility,rebalance_cost,swap_fee,slippage,gas_cost,portfolio_value
1738009643,2025-01-27 20:27:23,1732,1746,1739,1753,1.1908662583884306,time,48228,0.07026503829196369,0.0280276978157984,5.008931277167841,4.999999780229928,6.076476229066676e-36,0.00893149693791323,9994.990629182688
1738057883,2025-01-28 09:51:23,1739,1753,1737,1751,1.190604100391252,time,48240,-0.022014058701556455,0.0118301988239206,5.006424770555987,4.997495239803053,6.067349533606911e-36,0.00892953075293439,9989.98405483555
1738106135,2025-01-28 23:15:35,1737,1751,1741,1755,1.1910883248560011,time,48252,0.040670485225948495,0.0574401065822544,5.003925310133151,4.994992147696731,6.058237251256187e-36,0.00893316243642001,9984.980370083329
1738154375,2025-01-29 12:39:35,1741,1755,1744,1758,1.1914594442676394,time,48240,0.031158009351079947,0.0139887274440656,5.001426214019857,4.99249026818785,6.049138504751272e-36,0.008935945832007295,9979.97911016168
1738202627,2025-01-30 02:03:47,1744,1758,1744,1758,1.1914477015677092,time,48252,-0.0009855727768748438,0.0074235900126684,4.998925595835328,4.98998973807357,6.040053773020027e-36,0.00893585776175782,9974.980550551305
1738250831,2025-01-30 15:27:11,1744,1758,1745,1759,1.191532677210061,time,48204,0.007132133642119492,0.0206859917108848,4.996427007912252,4.987490512833176,6.03098287525942e-36,0.008936495079075457,9969.984598658439
1738299095,2025-01-31 04:51:35,1745,1759,1744,1758,1.1913568066318154,time,48264,-0.01476002980105634,0.0062757852659489,4.993927711694713,4.984992535644975,6.021925586756945e-36,0.008935176049738616,9964.991143578254
1738347455,2025-01-31 18:17:35,1744,1758,1744,1758,1.1913755724737107,time,48360,0.001575165541577915,0.0342325150823285,4.991431061253957,4.9824957444604046,6.012881664723261e-36,0.008935316793552832,9960.000057859554
1738395707,2025-02-01 07:41:47,1744,1758,1744,1758,1.1914716966498202,time,48252,0.008068335320146258,0.0030539368700149,4.988936302409737,4.980000264684864,6.003851545268662e-36,0.008936037724873652,9955.011593067316
1738443935,2025-02-01 21:05:35,1744,1758,1747,1761,1.1917392182416977,time,48228,0.022453037921899562,0.0050745129778015,4.986444061903684,4.977506017766871,5.994834925777607e-36,0.008938044136812734,9950.025591471836
1738492259,2025-02-02 10:30:59,1747,1761,1743,1757,1.1913215604375185,time,48324,-0.03504607365321541,0.0487581543995131,4.983947909699073,4.975012997995791,5.985831767715003e-36,0.00893491170328139,9945.042048081883
1738540547,2025-02-02 23:55:47,1743,1757,1741,1755,1.1910983470073206,time,48288,-0.018736623058836065,0.1375610347109762,4.981454111836491,4.972520874233935,5.9768408591836964e-36,0.008933237602554905,9940.060294356035
1738552655,2025-02-03 03:17:35,1741,1755,1712,1726,1.1875948218635382,price,12108,-0.2941423898862115,0.7857389493544312,4.978937225482441,4.970030264318464,5.9678644115923045e-36,0.008906961163976537,9935.081591411446
1738588895,2025-02-03 13:21:35,1712,1726,1742,1756,1.19116989294497,price,36240,0.30103457977545434,0.5442976039826747,4.976467202733926,4.967533428536838,5.958874551147336e-36,0.008933774197087277,9930.090389870942
