block,timestamp,datetime,sqrtPriceX96,tick,price,liquidity,observationIndex,observationCardinality,observationCardinalityNext,feeProtocol,unlocked,price_change,price_change_pct,liquidity_change,liquidity_change_pct,time_diff_seconds,est_volatility_daily,daily_volume_usd,daily_volume_token0,daily_volume_token1,tvl_usd,fees_usd
21714243,1737961415,2025-01-27 15:03:35,86428814066904950429669642523,1739,1.1900300832947175,8415658585412557431693965,103,180,180,0,True,,,,,,,,,,,
21715243,1737973427,2025-01-27 18:23:47,86422749936960627420611760703,1738,1.189863096301454,16350095654537979187585,112,180,180,0,True,-0.00016698699326345157,-0.014032165708040872,-8399308489758019452506380,-99.80571816823844,12012.0,0.03763343965566653,,,,,
21716243,1737985511,2025-01-27 21:45:11,86436351712520981591326525695,1741,1.1902376625906934,13416100549873829681296279,125,180,180,0,True,0.0003745662892393753,0.03147978035487187,13399750454219291702108694,81955.18079736849,12084.0,0.08417501576844348,,,,,
21717243,1737997583,2025-01-28 01:06:23,86463700447345211582051756124,1747,1.1909909716618143,4311176396496522628824430,129,180,180,0,True,0.0007533090711209223,0.06329064310410543,-9104924153377307052471849,-67.8656523147699,12072.0,0.16931941779127968,51242427.85649451,13529.196891632868,16113.294084394161,19604163.89359149,5124.2427856494505
21718243,1738009643,2025-01-28 04:27:23,86459173354499880835859920468,1746,1.1908662583884306,4429880564213894410476893,136,180,180,0,True,-0.00012471327338370308,-0.010471386966912778,118704167717371781652463,2.7534054930769414,12060.0,0.028027697815798447,51242427.85649451,13529.196891632868,16113.294084394161,19604163.89359149,5124.2427856494505
21719243,1738021679,2025-01-28 07:47:59,86453792341372925168095826746,1745,1.1907180296393274,4429880564213894410476893,139,180,180,0,True,-0.0001482287491032519,-0.012447136532682196,0,0.0,12036.0,0.033349185777754024,51242427.85649451,13529.196891632868,16113.294084394161,19604163.89359149,5124.2427856494505
21720243,1738033727,2025-01-28 11:08:47,86453344551752030777380891861,1745,1.1907056949625063,11584152569016175259695379,144,180,180,0,True,-1.2334676821046386e-05,-0.0010359024146785283,7154272004802280849218486,161.5003362076387,12048.0,0.002774075247320055,51242427.85649451,13529.196891632868,16113.294084394161,19604163.89359149,5124.2427856494505
21721243,1738045835,2025-01-28 14:30:35,86451565834919987216765586965,1745,1.1906566996000905,11584152569016175259695379,144,180,180,0,True,-4.899536241587121e-05,-0.004114817172971866,0,0.0,12108.0,0.01099186051873459,51242427.85649451,13529.196891632868,16113.294084394161,19604163.89359149,5124.2427856494505
21722243,1738057883,2025-01-28 17:51:23,86449656244107919012371398215,1744,1.190604100391252,11584152569016175259695379,147,180,180,0,True,-5.2599208838488565e-05,-0.00441766370240517,0,0.0,12048.0,0.011830198823920618,51242427.85649451,13529.196891632868,16113.294084394161,19604163.89359149,5124.2427856494505
21723243,1738069943,2025-01-28 21:12:23,86455155163618349901300852170,1745,1.1907555699198626,11586313419133161595079518,154,180,180,0,True,0.00015146952861067042,0.01272207348865127,2160850116986335384139,0.018653501877780025,12060.0,0.03405188180486316,51242427.85649451,13529.196891632868,16113.294084394161,19604163.89359149,5124.2427856494505
21724243,1738082051,2025-01-29 00:34:11,86462513605424663373680809996,1747,1.1909582756679225,4359020964659422837033374,156,180,180,0,True,0.000202705748059806,0.017023287833408837,-7227292454473738758046144,-62.37784352129544,12108.0,0.04547409947255532,20824414.097098444,5600.720132228119,6672.869775472659,20050343.46280558,2082.4414097098447
21725243,1738094087,2025-01-29 03:54:47,86476509062794639087992129560,1750,1.1913438613763256,3013783946914022040826212,167,180,180,0,True,0.00038558570840319106,0.032376088758184575,-1345237017745400796207162,-30.860989856480455,12036.0,0.0867441435963012,20824414.097098444,5600.720132228119,6672.869775472659,20050343.46280558,2082.4414097098447
21726243,1738106135,2025-01-29 07:15:35,86467234204364486025759172130,1748,1.1910883248560011,3625224760801889219886717,170,180,180,0,True,-0.00025553652032450636,-0.021449434425195448,611440813887867179060505,20.288143564967715,12048.0,0.05744010658225441,20824414.097098444,5600.720132228119,6672.869775472659,20050343.46280558,2082.4414097098447
21727243,1738118231,2025-01-29 10:37:11,86466993495554957320114531346,1748,1.1910816933254271,3625224760801889219886717,170,180,180,0,True,-6.6315305740083375e-06,-0.0005567622850144273,0,0.0,12096.0,0.0014880097974295503,20824414.097098444,5600.720132228119,6672.869775472659,20050343.46280558,2082.4414097098447
21728243,1738130255,2025-01-29 13:57:35,86470217364158050432551226463,1749,1.1911705124760315,3624753621108009316160046,174,180,180,0,True,8.881915060432455e-05,0.0074570158455166,-471139693879903726671,-0.012996151272443838,12024.0,0.019989293898607995,20824414.097098444,5600.720132228119,6672.869775472659,20050343.46280558,2082.4414097098447
21729243,1738142327,2025-01-29 17:18:47,86482962727511225011873908327,1752,1.191521685870423,5707521039563454480813885,175,180,180,0,True,0.00035117339439150186,0.029481370694908644,2082767418455445164653839,57.45955825319757,12072.0,0.0788705609064514,20824414.097098444,5600.720132228119,6672.869775472659,20050343.46280558,2082.4414097098447
21730243,1738154375,2025-01-29 20:39:35,86480703889684261229508978616,1751,1.1914594442676394,11384515554978417129058585,179,180,180,0,True,-6.224160278356372e-05,-0.005223707089988494,5676994515414962648244700,99.46515266545866,12048.0,0.013988727444065605,20824414.097098444,5600.720132228119,6672.869775472659,20050343.46280558,2082.4414097098447
21731243,1738166459,2025-01-30 00:00:59,86480388844609882808583950522,1751,1.1914507634237368,11384515554978417129058585,1,180,180,0,True,-8.680843902597601e-06,-0.0007285891218843374,0,0.0,12084.0,0.0019482029458899673,14518576.84331751,3775.908237464256,4498.719418005694,19547985.75331874,1451.857684331751
21732243,1738178507,2025-01-30 03:21:47,86480496838241147624634440880,1751,1.191453739108201,11384515554978417129058585,3,180,180,0,True,2.9756844641681823e-06,0.0002497530368453746,0,0.0,12048.0,0.0006688214137147026,14518576.84331751,3775.908237464256,4498.719418005694,19547985.75331874,1451.857684331751
21733243,1738190567,2025-01-30 06:42:47,86481477020850800108864864649,1752,1.191480747483412,12204001722368716193081326,4,180,180,0,True,2.7008375210968438e-05,0.0022668421210532367,819486167390299064022741,7.198252428334027,12060.0,0.006067426040672357,14518576.84331751,3775.908237464256,4498.719418005694,19547985.75331874,1451.857684331751
21734243,1738202627,2025-01-30 10:03:47,86480277723496814821296857526,1751,1.1914477015677092,10761021519390245561603239,6,180,180,0,True,-3.304591570274518e-05,-0.0027735165484245685,-1442980202978470631478087,-11.823828247529923,12060.0,0.0074235900126684365,14518576.84331751,3775.908237464256,4498.719418005694,19547985.75331874,1451.857684331751
